project_name,task_description,files_touched,previous_failure_count,expected_tier,expected_risk,expected_human_review_required,expected_reason_keywords
Diana Test Project,Make the hello world page background prettier,"[""index.html"", ""style.css""]",0,cheap,low,False,"[""cheap_content""]"
Mark's Test Project,Update README copy for the demo,"[""README.md""]",0,cheap,low,False,"[""cheap_content""]"
Scott's Test Project,Add placeholder static HTML and CSS for a test page,"[""public/index.html"", ""public/site.css""]",0,cheap,low,False,"[""cheap_content""]"
Diana Test Project,Write a simple summary for the sample page,"[""docs/summary.md""]",0,cheap,low,False,"[""cheap_content""]"
Scott's Test Project,Clean up docs wording for the test app,"[""docs/notes.md""]",0,cheap,low,False,"[""cheap_content""]"
Grant Quarter Reporting,Create a dashboard report for quarter totals,"[""reports/quarterly.py""]",0,mid,medium,False,"[""mid_complexity""]"
Grant Quarter Reporting,Adjust report logic for Munis grant categories,"[""reports/grants.py""]",0,mid,medium,False,"[""mid_complexity""]"
COI project,Improve PDF extraction compliance checks,"[""coi/extract.py"", ""tests/test_extract.py""]",0,mid,medium-high,False,"[""project_default:mid""]"
Student TRACK Debrief Documentation,Add a debrief documentation summary section,"[""docs/debrief.md""]",0,mid,medium,False,"[""project_default:mid""]"
Diana Test Project,Add a normal UI form for collecting sample preferences,"[""src/form.py"", ""templates/form.html""]",0,mid,medium,False,"[""mid_complexity""]"
Mark's Test Project,Sketch workflow design for a non-production demo,"[""docs/workflow.md""]",0,mid,medium,False,"[""mid_complexity""]"
Scott's Test Project,Do non-production bot analysis for a prototype run,"[""analysis/bot_notes.md""]",0,mid,medium,False,"[""mid_complexity""]"
COI project,Add a compliance dashboard for extracted PDF results,"[""coi/dashboard.py""]",0,mid,medium-high,False,"[""mid_complexity""]"
Grant Quarter Reporting,Add a workflow review screen before report export,"[""reports/review.py""]",0,mid,medium,False,"[""mid_complexity""]"
Veteran's Intake Application,Fix auth ping endpoint redirect bug,"[""Auth/ping.php"", ""api/list_intakes.php""]",1,advanced,high,True,"[""advanced_risk"", ""sensitive_project""]"
Veteran's Intake Application,Tune SQL query for intake search results,"[""api/search_intakes.php"", ""sql/intakes.sql""]",0,advanced,high,True,"[""advanced_risk"", ""sensitive_project""]"
Veteran's Intake Application,Repair Laserfiche file download handling,"[""api/download.php""]",0,advanced,high,True,"[""laserfiche"", ""exclude secrets""]"
USB Device Approval Application,Update Microsoft Graph Advanced Hunting query for USB approvals,"[""graph/hunting.py""]",0,advanced,high,True,"[""advanced_risk"", ""security_controls""]"
USB Device Approval Application,Change Intune [redacted-serial] logic,"[""intune/usb_devices.py""]",0,advanced,high,True,"[""intune"", ""sensitive_project""]"
CLIO Data Extraction,Map Clio document metadata into Laserfiche fields,"[""migration/metadata.py""]",0,advanced,high,True,"[""laserfiche"", ""sensitive_project""]"
CLIO Data Extraction,Retry legal records migration batches safely,"[""migration/retry.py""]",0,advanced,high,True,"[""legal records"", ""exclude secrets""]"
DSSI Intake API Conversion,Convert Laserfiche SDK upload to API calls,"[""dssi/laserfiche_api.py""]",0,advanced,high,True,"[""laserfiche"", ""sensitive_project""]"
2024 CIT AD Hardening,Review Active Directory hardening script for cybersecurity controls,"[""ad/hardening.ps1""]",0,advanced,high,True,"[""active directory"", ""security_controls""]"
Network Switch/IAP Config,Update network switch infrastructure configuration,"[""network/switch.yml""]",0,advanced,high,True,"[""infrastructure"", ""security_controls""]"
NACS - Syslog Server,Tune infrastructure syslog forwarding and security logs parsing,"[""syslog/parser.py""]",0,advanced,high,True,"[""infrastructure"", ""security_controls""]"
Map Cabarrus 2.0,Adjust ArcGIS service dependency fallback behavior,"[""services/arcgis.py""]",0,advanced,high,False,"[""project_default:advanced""]"
